date,unit 1,unit 2,unit 3,unit 4,unit 5,unit 6,unit 7,unit 8
2017-03-25T18:20+10,149,150,169,158,173,177,178,170
2017-03-25T18:25+10,149,149,169,159,173,176,176,170
2017-03-25T18:30+10,148,148,170,158,173,176,176,170
2017-03-25T18:35+10,149,150,169,159,174,177,176,170
2017-03-25T18:40+10,149,150,170,159,173,176,176,170
2017-03-25T18:45+10,149,152,170,159,173,176,176,169
2017-03-25T18:50+10,149,149,170,159,173,176,177,170
2017-03-25T18:55+10,148,149,170,159,173,175,176,169
2017-03-25T19:00+10,149,149,170,159,173,177,178,170
2017-03-25T19:05+10,148,149,169,159,173,176,177,169
2017-03-25T19:10+10,149,150,169,159,173,176,177,170
2017-03-25T19:15+10,149,149,170,159,173,177,176,170
2017-03-25T19:20+10,148,149,169,159,173,176,177,169
2017-03-25T19:25+10,149,150,170,160,173,176,177,170
2017-03-25T19:30+10,149,150,170,160,173,176,177,169
2017-03-25T19:35+10,149,149,169,159,173,177,177,171
2017-03-25T19:40+10,149,152,169,159,173,176,177,168
2017-03-25T19:45+10,147,146,170,159,173,176,176,169
2017-03-25T19:50+10,149,148,169,159,172,176,176,169
2017-03-25T19:55+10,149,149,169,159,172,175,175,170
2017-03-25T20:00+10,149,152,170,160,173,176,178,169
2017-03-25T20:05+10,149,152,170,160,172,176,178,169
2017-03-25T20:10+10,148,148,169,159,172,176,176,169
2017-03-25T20:15+10,145,145,170,159,173,175,176,168
2017-03-25T20:20+10,149,150,169,159,173,176,176,170
2017-03-25T20:25+10,147,147,170,159,173,175,177,169
2017-03-25T20:30+10,149,150,169,159,173,176,177,170
2017-03-25T20:35+10,149,151,169,159,173,175,177,169
2017-03-25T20:40+10,149,152,170,160,174,175,177,169
2017-03-25T20:45+10,147,147,170,159,173,176,176,169
2017-03-25T20:50+10,149,149,169,159,174,177,176,170
2017-03-25T20:55+10,148,149,169,159,174,177,176,169
2017-03-25T21:00+10,149,152,170,160,174,177,177,170
2017-03-25T21:05+10,149,150,169,159,173,177,177,169
2017-03-25T21:10+10,149,150,170,159,174,176,176,169
2017-03-25T21:15+10,147,147,169,159,173,175,175,169
2017-03-25T21:20+10,149,150,170,159,173,176,176,169
2017-03-25T21:25+10,149,150,170,159,174,176,177,169
2017-03-25T21:30+10,149,152,169,159,173,175,176,169
2017-03-25T21:35+10,147,147,170,160,173,176,176,169
2017-03-25T21:40+10,149,150,170,160,172,176,176,169
2017-03-25T21:45+10,149,152,170,160,174,176,177,169
2017-03-25T21:50+10,149,149,170,159,173,176,177,170
2017-03-25T21:55+10,148,147,170,159,174,176,176,170
2017-03-25T22:00+10,149,149,170,159,174,176,176,170
2017-03-25T22:05+10,149,148,169,159,173,175,175,171
2017-03-25T22:10+10,149,150,170,160,174,176,177,170
2017-03-25T22:15+10,149,148,170,159,174,175,176,170
2017-03-25T22:20+10,149,149,170,160,173,176,175,169
2017-03-25T22:25+10,149,150,170,159,173,175,177,170
2017-03-25T22:30+10,149,152,170,160,174,176,178,170
2017-03-25T22:35+10,149,151,170,160,174,176,177,169
2017-03-25T22:40+10,142,141,170,160,173,176,175,170
2017-03-25T22:45+10,149,148,170,159,174,176,177,170
2017-03-25T22:50+10,149,149,170,159,173,175,175,169
2017-03-25T22:55+10,149,151,170,160,173,176,177,169
2017-03-25T23:00+10,149,150,170,160,174,175,177,170
2017-03-25T23:05+10,149,150,170,160,173,175,177,169
2017-03-25T23:10+10,149,150,170,159,174,176,176,171
2017-03-25T23:15+10,149,152,169,159,173,176,177,169
2017-03-25T23:20+10,149,150,170,159,173,176,176,169
2017-03-25T23:25+10,148,148,170,159,173,177,176,169
2017-03-25T23:30+10,149,149,170,160,173,176,176,170
2017-03-25T23:35+10,145,145,170,159,174,176,175,170
2017-03-25T23:40+10,149,152,169,160,173,177,176,169
2017-03-25T23:45+10,148,147,169,159,174,176,176,170
2017-03-25T23:50+10,149,149,170,159,173,175,176,170
2017-03-25T23:55+10,149,150,171,160,173,177,176,170
2017-03-26T00:00+10,147,146,170,159,173,176,176,170
2017-03-26T00:05+10,146,145,170,159,173,175,174,171
2017-03-26T00:10+10,150,150,170,159,173,177,175,170
2017-03-26T00:15+10,149,150,170,159,173,175,176,170
2017-03-26T00:20+10,146,147,170,160,173,177,176,170
2017-03-26T00:25+10,149,149,170,160,174,176,177,170
2017-03-26T00:30+10,150,152,169,160,173,176,178,170
2017-03-26T00:35+10,149,149,170,160,174,176,176,170
2017-03-26T00:40+10,149,152,169,160,174,176,176,169
2017-03-26T00:45+10,149,152,170,159,175,176,177,169
2017-03-26T00:50+10,149,150,170,159,174,176,176,170
2017-03-26T00:55+10,149,150,170,160,174,176,175,170
2017-03-26T01:00+10,148,149,170,160,174,176,175,168
2017-03-26T01:05+10,143,142,171,159,174,175,175,171
2017-03-26T01:10+10,150,150,170,160,173,176,177,170
2017-03-26T01:15+10,150,151,171,160,173,176,177,169
2017-03-26T01:20+10,149,150,170,159,174,175,178,171
2017-03-26T01:25+10,150,150,170,160,173,176,178,170
2017-03-26T01:30+10,149,150,170,160,174,176,178,170
2017-03-26T01:35+10,150,150,170,160,173,176,178,170
2017-03-26T01:40+10,150,152,170,160,173,176,177,170
2017-03-26T01:45+10,148,148,169,159,173,176,176,169
2017-03-26T01:50+10,150,152,170,159,174,176,177,170
2017-03-26T01:55+10,150,150,170,159,173,176,177,169
2017-03-26T02:00+10,149,150,170,159,173,176,177,170
2017-03-26T02:05+10,150,150,170,160,174,175,176,169
2017-03-26T02:10+10,148,148,170,160,172,176,177,170
2017-03-26T02:15+10,149,152,170,160,173,175,177,170
2017-03-26T02:20+10,150,152,170,160,173,176,178,170
2017-03-26T02:25+10,150,152,170,160,173,176,178,171
2017-03-26T02:30+10,150,150,170,160,173,176,176,171
2017-03-26T02:35+10,148,149,170,160,173,176,176,171
2017-03-26T02:40+10,149,150,170,160,173,176,177,170
2017-03-26T02:45+10,149,149,170,160,173,175,176,170
2017-03-26T02:50+10,149,152,170,159,173,176,176,170
2017-03-26T02:55+10,150,150,170,160,174,176,176,170
2017-03-26T03:00+10,148,148,169,159,173,175,176,171
2017-03-26T03:05+10,149,152,170,160,174,176,177,170
2017-03-26T03:10+10,149,152,170,160,174,177,177,171
2017-03-26T03:15+10,149,152,170,159,174,175,177,169
2017-03-26T03:20+10,144,143,169,159,174,175,175,170
2017-03-26T03:25+10,144,143,169,159,173,175,176,170
2017-03-26T03:30+10,149,150,169,160,174,176,175,169
2017-03-26T03:35+10,149,152,170,160,174,176,176,171
2017-03-26T03:40+10,149,150,169,160,173,176,176,169
2017-03-26T03:45+10,146,145,171,159,173,176,176,170
2017-03-26T03:50+10,150,150,170,160,174,176,177,169
2017-03-26T03:55+10,148,149,170,159,173,175,176,169
2017-03-26T04:00+10,149,152,169,159,173,176,177,170
2017-03-26T04:05+10,149,153,170,160,173,175,178,169
2017-03-26T04:10+10,149,148,170,159,173,175,176,171
2017-03-26T04:15+10,145,143,170,159,173,175,175,169
2017-03-26T04:20+10,149,150,170,159,173,176,177,169
2017-03-26T04:25+10,148,148,169,159,172,176,176,169
2017-03-26T04:30+10,149,149,170,159,173,176,176,170
2017-03-26T04:35+10,149,149,170,159,173,176,178,169
2017-03-26T04:40+10,149,150,170,159,173,175,176,170
2017-03-26T04:45+10,148,148,169,159,172,175,175,170
2017-03-26T04:50+10,149,150,170,160,173,175,177,170
2017-03-26T04:55+10,149,149,169,159,173,176,176,171
2017-03-26T05:00+10,149,150,170,159,173,175,176,170
2017-03-26T05:05+10,147,149,170,159,173,176,176,169
2017-03-26T05:10+10,147,147,170,159,173,175,177,170
2017-03-26T05:15+10,149,149,170,159,173,175,177,170
2017-03-26T05:20+10,149,149,170,159,173,175,176,168
2017-03-26T05:25+10,149,152,170,160,173,176,177,170
2017-03-26T05:30+10,149,149,170,159,173,176,177,169
2017-03-26T05:35+10,149,150,170,159,173,175,177,170
2017-03-26T05:40+10,149,150,170,159,173,176,176,169
2017-03-26T05:45+10,149,150,169,159,173,175,175,169
2017-03-26T05:50+10,149,149,169,160,173,175,175,169
2017-03-26T05:55+10,149,150,169,160,172,174,176,169
2017-03-26T06:00+10,149,150,169,159,173,175,176,169
2017-03-26T06:05+10,149,149,169,159,173,175,176,170
2017-03-26T06:10+10,147,146,169,159,173,175,176,170
2017-03-26T06:15+10,149,152,169,160,173,176,177,170
2017-03-26T06:20+10,149,152,170,160,173,176,176,170
2017-03-26T06:25+10,147,147,169,160,173,176,175,169
2017-03-26T06:30+10,149,149,169,159,173,175,176,169
2017-03-26T06:35+10,149,150,169,159,173,175,176,168
2017-03-26T06:40+10,145,145,169,159,173,175,176,170
2017-03-26T06:45+10,148,149,169,159,173,176,177,170
2017-03-26T06:50+10,150,150,168,159,173,175,176,169
2017-03-26T06:55+10,149,150,169,160,173,176,177,169
2017-03-26T07:00+10,149,152,170,158,173,175,177,169
2017-03-26T07:05+10,149,150,169,160,173,175,176,169
2017-03-26T07:10+10,149,149,170,160,173,175,176,170
2017-03-26T07:15+10,148,149,170,160,173,175,177,170
2017-03-26T07:20+10,149,149,168,159,173,176,176,169
